,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link,only_city,low,heigh,mean_money
45,Python交易开发工程师,企,24-36万,深圳-南山区,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月05日,盖威科技,计算机软件,100-499人,https://www.liepin.com/job/1911010681.shtml,深圳,24,36,30.0
46,python（Django）开发工程师,企,面议,上海,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月05日,上海吉多宜信息技术,基金/证券/期货/投资,100-499人,https://www.liepin.com/job/1911185980.shtml,上海,面议,面议,面议
47,C++/Python研发工程师,企,10-16万,北京,学历不限,2年工作经验,投递后：1个工作日内反馈,2017年12月05日,奔讯电子科技(北京),计算机软件,100-499人,https://www.liepin.com/job/199695969.shtml,北京,10,16,13.0
48,Python后端开发工程师J11224,企,20-33万,上海,本科及以上,2年工作经验,投递后：2个工作日内反馈,2017年12月05日,沪江,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/1911184376.shtml,上海,20,33,26.5
49,高级Python工程师,企,24-42万,上海,本科及以上,5年工作经验,投递后：5个工作日内反馈,2017年12月05日,你我贷,基金/证券/期货/投资,5000-10000人,https://www.liepin.com/job/199533115.shtml,上海,24,42,33.0
50,资深python开发工程师,企,面议,上海-长宁区,统招本科,4年工作经验,投递后：10个工作日内反馈,2017年12月05日,美团点评,互联网/移动互联网/电子商务,10000人以上,https://www.liepin.com/job/199092618.shtml,上海,面议,面议,面议
51,python开发工程师(职位编号：globalegrow001207),企,12-18万,深圳,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,环球易购,互联网/移动互联网/电子商务,2000-5000人,https://www.liepin.com/job/1911188305.shtml,深圳,12,18,15.0
52,Python开发工程师,企,11-14万,无锡-新区,统招本科,经验不限,投递后：10个工作日内反馈,2017年12月05日,无锡广华科技有限公司,计算机软件,50-99人,https://www.liepin.com/job/1911183422.shtml,无锡,11,14,12.5
53,自动化测试工程师（python）,企,12-22万,北京,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年12月05日,易诚高科,计算机软件,100-499人,https://www.liepin.com/job/1911180135.shtml,北京,12,22,17.0
54,python开发（智能交易）,企,14-24万,深圳,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,盖威科技,计算机软件,100-499人,https://www.liepin.com/job/1911010693.shtml,深圳,14,24,19.0
55,python开发工程师,企,18-30万,西安,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,西安逆袭网络科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910937338.shtml,西安,18,30,24.0
56,高级Python工程师,企,18-35万,上海-徐汇区,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,上海迈外迪网络科技北京,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/195679872.shtml,上海,18,35,26.5
57,Python研发工程师,企,7-10万,南通,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月05日,帝联科技,通信(设备/运营/增值),500-999人,https://www.liepin.com/job/1910605878.shtml,南通,7,10,8.5
58,Python开发工程师,企,36-48万,深圳,本科及以上,5年工作经验,投递后：1个工作日内反馈,2017年12月05日,盖威科技,计算机软件,100-499人,https://www.liepin.com/job/1910558171.shtml,深圳,36,48,42.0
