,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
85,直播app端-高级ios开发工程师,企,18-30万,上海-松江区,学历不限,经验不限,投递后：10个工作日内反馈,2017年12月21日,巨人网络,网络游戏,2000-5000人,https://www.liepin.com/job/195632583.shtml
86,iOS开发工程师,企,面议,广州,学历不限,2年工作经验,投递后：5个工作日内反馈,2017年12月21日,广州武时亿网络科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/198888488.shtml
87,iOS架构师,企,25-50万,深圳,统招本科,5年工作经验,投递后：5个工作日内反馈,2017年12月21日,金蝶软件深圳,互联网/移动互联网/电子商务,5000-10000人,https://www.liepin.com/job/1910905958.shtml
88,IOS开发工程师,企,面议,石家庄,统招本科,3年工作经验,投递后：1个工作日内反馈,2017年12月21日,康明斯天远(河北)科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910904902.shtml
89,MSTD030C-高级iOS开发工程师,企,18-30万,深圳-南山区,本科及以上,4年工作经验,投递后：5个工作日内反馈,2017年12月21日,启明星电商,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/196764941.shtml
90,ios开发工程师,企,10-16万,广州,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,深圳自家人农电商有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910873344.shtml
91,iOS开发工程师,企,12-14万,深圳,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,万科集团总部沃土计划,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910872652.shtml
92,iOS开发工程师,企,面议,北京,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月21日,重庆圣商信息科技有限公司北京分公司,教育/培训/学术/科研/院校,100-499人,https://www.liepin.com/job/1910843367.shtml
93,iOS工程师,企,16-26万,上海,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月21日,堆糖网,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910843004.shtml
94,高级ios工程师（消费金融方向）,企,20-42万,南京,统招本科,2年工作经验,投递后：1个工作日内反馈,2017年12月21日,小黑鱼科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910827563.shtml
95,IOS应用开发工程师,企,10-19万,深圳,本科及以上,2年工作经验,投递后：2个工作日内反馈,2017年12月21日,绿米联创,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199703193.shtml
96,ios开发工程师,企,10-19万,大连,学历不限,2年工作经验,投递后：10个工作日内反馈,2017年12月21日,北京世联互动网络有限公司大连分公司,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910815866.shtml
97,IOS开发,企,12-24万,杭州,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月21日,九州量子,通信(设备/运营/增值),100-499人,https://www.liepin.com/job/1910287273.shtml
98,iOS技术经理,企,33-52万,北京-朝阳区,本科及以上,5年工作经验,投递后：5个工作日内反馈,2017年12月21日,北京凯声文化传媒有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910800743.shtml
99,IOS开发工程师,企,10-16万,北京,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月21日,Wicresoft,IT服务/系统集成,2000-5000人,https://www.liepin.com/job/1910799886.shtml
100,IOS软件开发,企,6-10万,广州-白云区,大专及以上,2年工作经验,投递后：2个工作日内反馈,2017年12月21日,广州市展皓软件科技发展有限公司,计算机软件,黄边北路金碧雅苑,https://www.liepin.com/job/1910797096.shtml
101,IOS开发工程师,企,7-11万,南昌-青山湖,统招本科,经验不限,投递后：2个工作日内反馈,2017年12月21日,成都三泰智能科技有限公司,IT服务/系统集成,500-999人,https://www.liepin.com/job/1910783822.shtml
